lband,uband,k,a0,a1,a2,a3,a4
25.6,25.6,1,-30354400.0,-1.34653e-05,1.45856e-3,0.0,0.0
25.6,25.6,2,0.0,0.0,0.0,0.0,0.0
28.4,28.4,1,0.0,0.0,0.0,0.0,0.0
28.4,28.4,2,-1874250000.0,0.0,0,16044100.0,9436400.0
30.3,30.3,1,0.0,0.0,0.0,0.0,0.0
30.3,30.3,2,-1058220000.0,0.0,0,10070500.0,7176960.0
30.4,30.4,1,213752000.0,-0.000174742,1.99727e-2,0.0,0.0
30.4,30.4,2,0.0,0.0,0.0,0.0,0.0
36.8,36.8,1,0,0.0,0.0,0.0,0.0
36.8,36.8,2,287050000.0,0.0,0,2795810.0,1721420.0
46.5,46.5,1,0.0,0.0,0.,0.0,0.0
46.5,46.5,2,58912200.0,0.0,0,844715.0,520445.0
55.4,55.4,1,-79756200.0,-1.56297e-05,1.69443e-3,0.0,0.0
55.4,55.4,2,0.0,0,0,0.0,0.0
58.4,58.4,1,-2405030000.0,-0.000118646,1.35717e-2,0.0,0.0
58.4,58.4,2,0.0,0,0,0.0,0.0
61.0,61.0,1,0.0,0.0,0,0.0,0.0
61.0,61.0,2,-241248000.0,0.0,0,5224890.0,2801060.0
63.0,63.0,1,-335139000.0,-5.35513e-05,6.12470e-3,0.0,0.0
63.0,63.0,2,0.0,0,0,0.0,0.0
70.3,70.3,1,-23382800.0,-1.03695e-05,1.12356e-3,0.0,0.0
70.3,70.3,2,0.0,0,0,0.0,0.0
76.5,76.5,1,-97018200.0,-9.18718e-06,9.95058e-4,0.0,0.0
76.5,76.5,2,0.0,0,0,0.0,0.0
77.0,77.0,1,0.0,0.0,0,0.0,0.0
77.0,77.0,2,-33993900.0,0.0,0,1759600.0,1127210.0
97.7,97.7,1,-3429460000.0,-0.000298656,3.23490e-2,0.0,0.0
97.7,97.7,2,0.0,0,0,0.0,0.0
102.6,102.6,1,-8493290000.0,-0.000415799,4.75659e-2,0.0,0.0
102.6,102.6,2,0.0,0,0,0.0,0.0
103.2,103.2,1,-5709320000.0,-0.000289205,3.13320e-2,0.0,0.0
103.2,103.2,2,0.0,0,0,0.0,0.0
