lband,uband,center,width,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
1.9,3.0,2.45,1.1,0.0,0.0,0.0,0.0,0.0,-408334000.0,0.0,0.0,4246640.0,1985030.0
3.0,4.9,3.95,1.9000000000000004,0.0,0.0,0.0,0.0,0.0,-1069940000.0,0.0,0.0,7942980.0,9478850.0
5.1,10.0,7.55,4.9,-263824000.0,-1.4816e-05,0.00169344,0.0,0.0,-201169000.0,0.0,0.0,3593840.0,2328410.0
10.1,14.8,12.45,4.700000000000001,-104138000.0,-6.35077e-06,0.000688071,0.0,0.0,-210080.0,0.0,0.0,634184.0,409793.0
15.0,19.9,17.45,4.899999999999999,-174864000.0,-1.39392e-05,0.00159327,0.0,0.0,-850452000.0,0.0,0.0,21598300.0,13984000.0
20.0,24.9,22.45,4.899999999999999,-203915000.0,-1.62148e-05,0.00185329,0.0,0.0,-1896260000.0,0.0,0.0,20285500.0,13157200.0
25.1,30.0,27.55,4.899999999999999,-77134300.0,-1.16469e-05,0.00133111,0.0,0.0,-3821020000.0,0.0,0.0,34814500.0,22724400.0
30.3,35.0,32.65,4.699999999999999,0.0,0.0,0.0,0.0,0.0,-4658600000.0,0.0,0.0,44597300.0,29106100.0
35.6,40.0,37.8,4.399999999999999,-5815460.0,-8.67583e-07,9.91946e-05,0.0,0.0,-1245690000.0,0.0,0.0,19074300.0,12041600.0
40.1,43.7,41.900000000000006,3.6000000000000014,-58950900.0,-9.43228e-06,0.00102271,0.0,0.0,-126274000.0,0.0,0.0,3236580.0,1982800.0
45.3,49.9,47.6,4.600000000000001,-197061000.0,-1.20655e-05,0.00130719,0.0,0.0,-971259000.0,0.0,0.0,10877600.0,7120620.0
50.0,55.0,52.5,5.0,-419500000.0,-3.54612e-05,0.00384192,0.0,0.0,-474330000.0,0.0,0.0,4085020.0,2446300.0
55.4,60.0,57.7,4.600000000000001,-1465200000.0,-9.37977e-05,0.0101714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,64.4,62.7,3.4000000000000057,-240644000.0,-3.99578e-05,0.00432751,0.0,0.0,-176203000.0,0.0,0.0,3643300.0,2325760.0
65.0,70.0,67.5,5.0,-127309000.0,-1.1882e-05,0.00128718,0.0,0.0,48665000.0,0.0,0.0,331301.0,189074.0
70.1,75.0,72.55,4.900000000000006,-65902400.0,-7.98417e-06,0.000864873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,80.0,77.5,5.0,-403358000.0,-3.67037e-05,0.00397636,0.0,0.0,-60595800.0,0.0,0.0,2876510.0,1846370.0
78.8,79.0,78.9,0.2000000000000028,-144845000.0,-2.63403e-05,0.00301266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.1,85.0,82.55,4.900000000000006,-1911430000.0,-0.000117893,0.0127725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.1,90.0,87.55,4.900000000000006,-6502130000.0,-0.00031852,0.0364148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.1,95.0,92.55,4.900000000000006,-5462440000.0,-0.000281559,0.0321729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.1,100.0,97.55,4.900000000000006,-1160910000.0,-9.34911e-05,0.0101294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.1,105.0,102.55,4.900000000000006,-4289910000.0,-0.000233472,0.0252878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
